,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
10972,0.000192715044123837,0.0002,0.00018732000000037,0.00019260398138263,0.000188208873417806,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504140.0,0,9,22,2,3,3
11033,0.000192715044123837,0.0002,0.00018732000000037,0.00019260398138263,0.000188208873417806,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504200.0,0,10,22,2,3,3
11095,0.000192715044123837,0.0002,0.00018732000000037,0.000192493854341797,0.000188290971682548,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504260.0,0,11,22,2,3,3
11155,0.000192715044123837,0.0002,0.00018732000000037,0.000192493854341797,0.000188290971682548,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504320.0,0,12,22,2,3,3
11217,0.000192715044123837,0.0002,0.00018732000000037,0.000192339691200104,0.000188387591661306,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504380.0,0,13,22,2,3,3
11277,0.000192715044123837,0.0002,0.00018732000000037,0.000192268578633028,0.000188005640057,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504440.0,0,14,22,2,3,3
11339,0.000192715044123837,0.0002,0.00018732000000037,0.000192227020081538,0.00018847206617232,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504500.0,0,15,22,2,3,3
11399,0.000192715044123837,0.0002,0.00018732000000037,0.000192201688203347,0.000188022334552225,-2.00597777,102.916031786700321855,531526.809258523983539091,1552504560.0,0,16,22,2,3,3
11461,0.000192715044123837,0.0002,0.00018732000000037,0.00019213447691299,0.000188070496132946,-2.00597777,102.916031786700321855,531526.809258523983539091,1552504620.0,0,17,22,2,3,3
11521,0.000192715044123837,0.0002,0.00018732000000037,0.000192047175211083,0.000188104954451832,-2.00597777,102.916031786700321855,531526.809258523983539091,1552504680.0,0,18,22,2,3,3
11583,0.000188,0.0002,0.00018732000000037,0.00019199013486137,0.00018786,-4.4035391,110.116139585590299637,569821.757135815321516867,1552504740.0,0,19,22,2,3,3
11643,0.000188,0.0002,0.00018732000000037,0.00019199013486137,0.00018786,-4.4035391,110.116139585590299637,569821.757135815321516867,1552504800.0,0,20,22,2,3,3
11705,0.000188,0.0002,0.00018732000000037,0.00019199013486137,0.00018786,-4.4035391,110.116139585590299637,569821.757135815321516867,1552504860.0,0,21,22,2,3,3
